,Estados,Qnt_cadastros,1-Janeiro,2-Fevereiro,3-Março,4-Abril,5-Maio,6-Junho,7-Julho,8-Agosto,9-Setembro,10-Outubro,11-Novembro,12-Dezembro
0,AC,4650173,390049,392014,383723,386214,388213,389272,392236,386123,387818,387887,388379,378245
1,AL,16527651,1403280,1402777,1366900,1372981,1383752,1387472,1398628,1372269,1372424,1366793,1367560,1332815
2,AM,19910182,1666344,1672504,1631933,1646332,1662921,1671702,1686971,1658496,1662647,1661064,1661746,1627522
3,AP,3536008,291788,293364,288276,290512,293568,295772,299156,295687,297328,296759,298769,295029
4,BA,72053091,6116602,6126309,5980217,6004200,6035842,6039961,6076621,5972270,5972754,5954915,5955059,5818341
5,CE,42785638,3614942,3619979,3541277,3556162,3577747,3582885,3614492,3556608,3558479,3541953,3543742,3477372
6,DF,3812561,338783,339435,315363,316248,316976,318791,326051,313073,314657,311891,313100,288193
7,ES,8013724,678413,682392,648435,654833,664101,670929,689119,669997,673720,667362,669643,644780
8,GO,13940440,1197293,1203620,1151311,1158808,1170664,1173969,1197143,1154345,1157682,1141456,1142226,1091923
9,MA,42990373,3642455,3648211,3572543,3585171,3604919,3612500,3631008,3566050,3564131,3556424,3552103,3454858
10,MG,45504184,3900282,3909783,3757768,3784474,3818544,3822040,3883071,3777297,3779693,3737351,3731706,3602175
11,MS,5886968,501638,503421,479603,483918,490577,494110,506836,490475,492447,486527,487563,469853
12,MT,7444861,640101,641838,610790,614735,622217,624537,638195,618372,621085,613296,612696,586999
13,PA,43147330,3624724,3632370,3553199,3573695,3600471,3613203,3645896,3585703,3592876,3589363,3600526,3535304
14,PB,20230546,1718727,1721540,1680143,1687979,1697598,1699876,1708462,1671447,1672354,1669773,1669223,1633424
15,PE,44149812,3737149,3741640,3656691,3673795,3696435,3702126,3725060,3659846,3664142,3658094,3658843,3575991
16,PI,18002380,1522113,1526304,1493274,1500346,1508825,1509661,1516016,1492046,1491819,1488950,1490302,1462724
17,PR,16382628,1396462,1404877,1343572,1354731,1367938,1370081,1407675,1367199,1372716,1350530,1350507,1296340
18,RJ,35137272,2937061,2956452,2830883,2866374,2914198,2940029,2989655,2921902,2950233,2965716,2983591,2881178
19,RN,14232450,1197784,1199581,1173840,1181306,1189976,1193939,1205650,1184343,1185638,1180870,1182251,1157272
20,RO,3990875,349994,350941,327718,330036,334253,335795,344403,329867,330037,324068,324031,309732
21,RR,2326413,194325,195669,188749,190544,192200,193901,198172,194290,195849,194704,196402,191608
22,RS,16065233,1387615,1394679,1316973,1329013,1343817,1349624,1376098,1328404,1333045,1321565,1324625,1259775
23,SC,5689540,486622,488770,460521,466213,472937,476084,490163,474645,478319,472480,473557,449229
24,SE,10782958,908670,910553,889947,896068,903219,905454,910381,896076,896638,894319,894830,876803
25,SP,66386250,5628569,5665281,5387420,5445451,5529640,5566784,5686693,5523290,5565770,5542106,5551584,5293662
26,TO,5731682,491637,491694,476766,477347,480468,480791,488160,476274,476273,470051,467360,454861
27,TOTAL,589311223,49963422,50115998,48507835,48827486,49262016,49421288,50032011,48936394,49060574,48846267,48891924,47446008
